Activity	Subject	tBodyAccMeanX	tBodyAccMeanY	tBodyAccMeanZ	tBodyAccStdX	tBodyAccStdY	tBodyAccStdZ	tGravityAccMeanX	tGravityAccMeanY	tGravityAccMeanZ	tGravityAccStdX	tGravityAccStdY	tGravityAccStdZ	tBodyAccJerkMeanX	tBodyAccJerkMeanY	tBodyAccJerkMeanZ	tBodyAccJerkStdX	tBodyAccJerkStdY	tBodyAccJerkStdZ	tBodyGyroMeanX	tBodyGyroMeanY	tBodyGyroMeanZ	tBodyGyroStdX	tBodyGyroStdY	tBodyGyroStdZ	tBodyGyroJerkMeanX	tBodyGyroJerkMeanY	tBodyGyroJerkMeanZ	tBodyGyroJerkStdX	tBodyGyroJerkStdY	tBodyGyroJerkStdZ	tBodyAccMagMean	tBodyAccMagStd	tGravityAccMagMean	tGravityAccMagStd	tBodyAccJerkMagMean	tBodyAccJerkMagStd	tBodyGyroMagMean	tBodyGyroMagStd	tBodyGyroJerkMagMean	tBodyGyroJerkMagStd	fBodyAccMeanX	fBodyAccMeanY	fBodyAccMeanZ	fBodyAccStdX	fBodyAccStdY	fBodyAccStdZ	fBodyAccMeanFreqX	fBodyAccMeanFreqY	fBodyAccMeanFreqZ	fBodyAccJerkMeanX	fBodyAccJerkMeanY	fBodyAccJerkMeanZ	fBodyAccJerkStdX	fBodyAccJerkStdY	fBodyAccJerkStdZ	fBodyAccJerkMeanFreqX	fBodyAccJerkMeanFreqY	fBodyAccJerkMeanFreqZ	fBodyGyroMeanX	fBodyGyroMeanY	fBodyGyroMeanZ	fBodyGyroStdX	fBodyGyroStdY	fBodyGyroStdZ	fBodyGyroMeanFreqX	fBodyGyroMeanFreqY	fBodyGyroMeanFreqZ	fBodyAccMagMean	fBodyAccMagStd	fBodyAccMagMeanFreq	fBodyBodyAccJerkMagMean	fBodyBodyAccJerkMagStd	fBodyBodyAccJerkMagMeanFreq	fBodyBodyGyroMagMean	fBodyBodyGyroMagStd	fBodyBodyGyroMagMeanFreq	fBodyBodyGyroJerkMagMean	fBodyBodyGyroJerkMagStd	fBodyBodyGyroJerkMagMeanFreq	"angletBodyAccMean,gravity"	"angletBodyAccJerkMean,gravityMean"	"angletBodyGyroMean,gravityMean"	"angletBodyGyroJerkMean,gravityMean"	"angleX,gravityMean"	"angleY,gravityMean"	"angleZ,gravityMean"
LAYING	1	0.221598244	-0.040513953	-0.113203554	-0.928056469	-0.836827406	-0.826061402	-0.932111173	-0.840910589	-0.821769982	-0.90620603	-0.501553994	-0.702558042	0.743068991	0.584897672	0.757735784	-0.84201828	-0.98350181	-0.948096523	-0.905166796	-0.939855015	-0.87720403	-0.823212527	-0.372230682	-0.491167013	-0.401980046	0.042987845	0.005230114	-0.032330749	0.146565224	0.176036389	-0.104318251	0.184165671	0.010500491	0.209115342	-0.121908136	0.090544313	0.002393976	-0.04089106	-0.009325204	-0.023365945	-0.248881798	0.705549773	0.44581772	-0.896830018	-0.907720007	-0.85236629	-0.899296135	-0.909938783	-0.85496698	-0.280373696	0.685113453	0.469392976	-0.236157682	0.692113313	0.413874033	0.24817269	-0.907459399	0.164573518	-0.319909042	-0.906383626	-0.915626852	-0.862546601	-0.517831684	-0.554398376	-0.580145995	-0.59367279	0.609129017	-0.62457653	0.64014844	-0.385390086	0.350315682	-0.355578329	0.378258038	-0.542024097	0.556812091	-0.571246186	0.582562983	-0.084591959	-0.078097494	-0.209117681	0.081086534	0.003838204	0.010834236	-0.958482112	-0.924149274	-0.954855111
SITTING	1	0.261237565	-0.001308288	-0.104544182	-0.977229008	-0.922618642	-0.939586291	-0.979514584	-0.919658954	-0.938834142	-0.927478156	-0.517350776	-0.786367285	0.820265046	0.682775776	0.822189593	-0.945740773	-0.997501779	-0.98986358	-0.986834701	-0.983227878	-0.932031701	-0.942854699	-0.594065365	-0.399390325	-0.521304053	0.152455853	-0.059416814	0.041039657	-0.004120594	0.16867734	-0.129112633	0.185128001	-0.116976239	0.258878962	-0.117149009	0.085076822	-0.022719591	-0.402862626	-0.201194423	0.118261864	0.831509933	0.204411593	0.332043703	-0.968457146	-0.935517056	-0.949040933	-0.969340964	-0.937680459	-0.950070109	0.768452719	0.188173389	0.331910236	0.843385717	0.205339024	0.321842867	0.225336938	0.574696193	-0.879533995	-0.779082066	-0.97193162	-0.94373551	-0.953704028	-0.686008595	-0.489424265	-0.626438336	-0.53031137	0.542945451	-0.555471944	0.568020149	-0.461273986	0.414006839	-0.401079185	0.403734667	-0.449001904	0.466639344	-0.483987104	0.498420171	-0.739178269	-0.49745395	0.301419345	0.07748252	-0.000619103	-0.003367792	-0.986430711	-0.981371965	-0.987910804
STANDING	1	0.278917629	-0.01613759	-0.110601818	-0.995759902	-0.973190056	-0.979775877	-0.996141354	-0.971758757	-0.979317499	-0.939289253	-0.560940621	-0.812804123	0.848946459	0.684994966	0.837719699	-0.98438264	-0.999946746	-0.999302946	-0.998956618	-0.996204861	-0.973516449	-0.97859993	-0.653732517	-0.562677676	-0.589450454	0.297424408	-0.145505504	0.113641826	0.080701496	0.185333379	-0.138346741	0.190322101	-0.015771673	0.279885046	-0.127876726	0.116846826	-0.103911304	0.128398753	-0.005432774	0.288310476	0.942952	-0.272983832	0.013490582	-0.993762985	-0.981225958	-0.976324064	-0.993810088	-0.981211152	-0.977041428	0.870122119	-0.288332921	0.009700546	0.961168261	-0.248024905	0.009381415	-0.243890063	0.846175155	-0.861761176	-0.994856862	-0.993978436	-0.981285212	-0.978356708	-0.886328097	-1	-0.852190776	-0.383272815	0.404326138	-0.425421404	0.446657695	-0.393991999	0.350695007	-0.346655733	0.359977633	-0.392890944	0.408391011	-0.42374483	0.436448896	0.472574717	0.13784963	0.46985826	0.075376654	0.007975731	-0.00368525	-0.994604542	-0.985648732	-0.992251177
WALKING	1	0.277330759	-0.017383819	-0.111148104	-0.283740259	0.114461337	-0.260027902	-0.340699021	0.06181108	-0.250125322	-0.10312469	-0.055729884	-0.255287709	0.119648415	-0.021220445	0.437405228	-0.125750239	-0.739483754	-0.758210963	-0.747708346	-0.424301445	-0.299358486	-0.25246647	0.358565592	0.437234197	0.042367505	-0.33495937	0.348408026	-0.149185121	0.079940776	-0.167359937	0.17496472	0.167755468	-0.051446776	-0.1189012	0.167263729	0.002621202	-0.275173844	-0.143721904	-0.191228477	0.380201212	0.935223201	-0.282165021	-0.068102864	-0.976609643	-0.971305961	-0.947717226	-0.976947355	-0.971701305	-0.949656491	0.868920799	-0.293611497	-0.062886066	0.947006739	-0.260094339	-0.078494017	-0.141761466	0.825961055	-0.863780189	-0.985550296	-0.97757118	-0.972578888	-0.954925938	-0.666553066	-1	-0.992509253	-0.298046153	0.382823887	-0.464401396	0.542635273	0.030822603	0.022550001	-0.147268382	0.295757009	-0.250876315	0.274929708	-0.296802274	0.314136445	0.321422888	-0.040083326	0.281260329	0.074041633	0.02827211	-0.004168406	-0.113615602	0.067002501	-0.502699789
WALKING_DOWNSTAIRS	1	0.28918832	-0.009918505	-0.107566191	0.030035338	-0.031935943	-0.230434213	-0.044117224	-0.107395631	-0.212040084	0.388969738	-0.09528396	-0.316749444	0.015681414	-0.043725971	0.304574351	0.007998987	-0.463124815	-0.812852248	-0.724291495	-0.22478938	-0.398996826	-0.205787239	0.236703361	0.376160761	0.169733415	-0.394878584	0.367594987	-0.310025982	0.276300964	-0.121436209	0.155332861	0.086682471	0.037671694	0.080375028	0.087777783	0.029159833	-0.291398958	-0.454243121	-0.225544974	0.075684506	0.931874419	-0.266610339	-0.062119959	-0.950559812	-0.937018659	-0.895939695	-0.951425748	-0.937871758	-0.897914719	0.875865664	-0.269610437	-0.046482764	0.935563321	-0.255517233	-0.086297714	-0.206320981	0.817406767	-0.879004753	-0.987619062	-0.952715699	-0.940913804	-0.907257557	-0.444759122	-1	-0.980412706	-0.571349235	0.630488242	-0.688477936	0.745318365	-0.210337386	0.23073043	-0.306573348	0.403120418	-0.20429525	0.223435975	-0.241356826	0.255841587	0.229494336	-0.297445344	0.101304625	0.054155316	0.029650449	-0.010971973	-0.012283861	-0.101601391	-0.345735032
WALKING_UPSTAIRS	1	0.25546169	-0.023953149	-0.097302002	-0.354708025	-0.002320265	-0.019479239	-0.402832782	0.007676899	0.035990501	-0.159448549	-0.102688458	-0.160509697	0.238182437	0.143961003	0.441553929	-0.096812593	-0.788475895	-0.804660189	-0.56589316	-0.496224404	-0.192069978	0.07219152	0.431169538	0.327277994	-0.006474543	-0.524400432	0.438563589	-0.239776343	0.134340678	-0.32739715	0.226589617	0.040024413	0.036781086	-0.468668596	0.307595389	-0.168581579	0.013781655	-0.387362044	-0.177008077	0.16162811	0.893351098	-0.362153364	-0.07540294	-0.956367028	-0.952849233	-0.91237941	-0.958245005	-0.953844427	-0.915071634	0.834566492	-0.365260562	-0.061189665	0.898112538	-0.343993199	-0.094407806	0.014133651	0.719342348	-0.769715006	-0.985300559	-0.961927118	-0.957150931	-0.924294371	-0.287523805	-1	-1	-0.643691342	0.686782271	-0.729133137	0.770799058	-0.496928409	0.520389703	-0.578771467	0.649069533	-0.68702663	0.700655635	-0.713323309	0.722018658	0.599383947	-0.372828727	-0.178003749	0.10137273	0.019486308	-0.045562545	-0.446843888	-0.378274426	-0.706593531
LAYING	2	0.281373404	-0.01815874	-0.10724561	-0.974059465	-0.980277399	-0.984233297	-0.976606966	-0.980963747	-0.984844731	-0.918792224	-0.562922494	-0.811239591	0.821333087	0.683942196	0.838955082	-0.977681891	-0.998712742	-0.999637563	-0.999349611	-0.979970158	-0.985124293	-0.984509168	-0.365240316	-0.648947491	-0.531906503	0.054264354	-0.034233234	-0.011016144	0.075290978	0.298941607	-0.171373589	0.235624305	-0.024523371	0.364322085	-0.159101985	0.176129899	-0.124408564	0.039883641	-0.199788469	-0.248458834	-0.509754238	0.752536639	0.64683488	-0.959014441	-0.988211865	-0.984230418	-0.962074936	-0.988574232	-0.984594022	-0.557152069	0.708211894	0.636297803	-0.46905254	0.764376011	0.644932617	0.270514784	-0.980468404	0.147438333	-0.183892581	-0.968257117	-0.989957676	-0.985215198	-0.808533115	-0.804117193	-0.687611358	-0.58410134	0.592162118	-0.600069149	0.607971194	-0.20867015	0.160945588	-0.165059561	0.191708346	-0.271551734	0.289946465	-0.308234634	0.324092916	0.215608006	-0.308245417	-0.56320074	0.082597251	0.012254788	-0.001802649	-0.985872169	-0.983172541	-0.988442014
SITTING	2	0.277087352	-0.015687994	-0.109218272	-0.98682228	-0.950704499	-0.959828172	-0.988594494	-0.951537807	-0.95894275	-0.926683676	-0.544435806	-0.800573029	0.839444008	0.67402816	0.826309457	-0.96698035	-0.999241645	-0.996521419	-0.994052473	-0.991487383	-0.962625605	-0.95816811	-0.607037766	-0.457042085	-0.415597586	0.274764831	-0.12348738	0.082004799	0.114170113	0.176580529	-0.124205547	0.201417685	-0.044589868	0.191536655	-0.100798854	0.037741844	-0.039786997	-0.159937675	-0.26815372	0.25645304	0.940477273	-0.105630024	0.198726769	-0.979988761	-0.956750273	-0.954415873	-0.981169302	-0.959359287	-0.955709076	0.870587757	-0.114777271	0.201170706	0.950714034	-0.089898877	0.191642852	-0.27107008	0.840362823	-0.978350846	-0.903089012	-0.985018896	-0.967219264	-0.960708293	-0.866774605	-0.949873141	-0.522695788	-0.410140565	0.437457425	-0.464912643	0.492596718	-0.500520532	0.475455904	-0.483447909	0.505593871	-0.504226633	0.513185264	-0.521841447	0.527540919	-0.269747227	-0.486664064	0.538687012	0.072256439	0.011695451	0.007605469	-0.988055854	-0.977983955	-0.987518212
STANDING	2	0.277911472	-0.018420827	-0.105908536	-0.987271889	-0.957304989	-0.949741851	-0.98934137	-0.957543717	-0.94760257	-0.926344519	-0.549563718	-0.787788227	0.833698081	0.67338683	0.828659837	-0.965375536	-0.999705047	-0.998935625	-0.994607065	-0.991624249	-0.965560857	-0.948583716	-0.527999633	-0.505586968	-0.446054261	0.247989409	-0.075695702	0.036823147	0.037691075	0.066912009	-0.057348151	0.17612699	-0.092488189	0.18235956	-0.119120139	0.128329919	-0.138534155	0.281888798	0.066527468	0.384642653	0.896928567	-0.370062697	0.129747161	-0.986685819	-0.97419442	-0.945927079	-0.986895013	-0.974806122	-0.947922743	0.826732694	-0.38052998	0.12964595	0.913570337	-0.346056915	0.115195252	0.158422912	0.728349483	-0.756286183	-0.963757029	-0.987721785	-0.977032637	-0.955777678	-0.75744273	-1	-0.453831075	-0.370277772	0.387816928	-0.405454711	0.423298318	-0.434275034	0.39340797	-0.389221847	0.401313067	-0.503979641	0.512760936	-0.52127489	0.526869882	0.674947213	0.334620621	0.611669641	0.07475886	0.010329177	-0.008371588	-0.981085716	-0.97105944	-0.982841446
WALKING	2	0.276426586	-0.01859492	-0.105500358	-0.423642838	-0.078091253	-0.425257525	-0.460983072	-0.120172928	-0.410145294	-0.268557946	-0.114027593	-0.376478511	0.348722974	0.051569523	0.527792219	-0.289223665	-0.830698671	-0.833280234	-0.846830009	-0.540421748	-0.392230919	-0.408763003	0.346780219	0.384876481	0.151969088	-0.245924086	0.303195507	-0.210438884	0.105832245	-0.170066955	0.288221887	-0.058849409	0.007325211	-0.170692268	0.212181969	-0.055275324	-0.112078515	-0.264019277	-0.025106914	0.368582476	0.913017333	-0.34660709	0.084727087	-0.972693201	-0.97211688	-0.972072848	-0.973123472	-0.972411931	-0.972923131	0.848431403	-0.356341643	0.081913958	0.924184269	-0.322984228	0.080478286	0.004590468	0.768837422	-0.791632866	-0.980049534	-0.973972478	-0.97374444	-0.975868435	-0.420668068	-1	-0.432806084	-0.399804294	0.465464584	-0.529027974	0.590435445	0.062089054	-0.046941288	-0.039201156	0.150537118	-0.323322676	0.373280613	-0.421718	0.465972588	0.329641999	-0.241298145	-0.065809031	0.06180807	0.018249268	0.007895337	-0.277530463	-0.016602236	-0.586090419
